"Search Term","Sell Through Rate","Sold Count"
"2008 Chevrolet Silverado 1500 climate control","28%","102"
"2008 Chevrolet Suburban 1500 climate control","21%","94"
"2008 Chevrolet Uplander climate control","11%","10"
"2008 Chrysler 300 climate control","30%","92"
"2008 Chrysler Sebring climate control","14%","31"
"2008 Dodge Avenger climate control","18%","70"
"2008 Dodge Caliber climate control","19%","53"
"2008 Dodge Ram climate control","51%","186"
"2008 Dodge Ram 1500 climate control","56%","167"
"2008 Ford Crown Victoria climate control","64%","110"
"2008 Ford Edge climate control","11%","42"
"2008 Ford Escape climate control","30%","54"
"2008 Ford Expedition climate control","20%","109"
"2008 Ford Explorer climate control","13%","52"
"2008 Ford F-150 climate control","40%","474"
"2008 Ford Focus climate control","13%","33"
"2008 Ford Fusion climate control","20%","82"
"2008 Ford Mustang climate control","38%","95"
"2008 Ford Taurus climate control","7%","17"
"2008 GMC Acadia climate control","19%","74"
"2008 Honda Accord climate control","31%","63"
"2008 Honda Civic climate control","31%","113"
"2008 Honda Fit climate control","15%","25"
"2008 Honda Odyssey climate control","10%","68"
"2008 Honda Pilot climate control","7%","28"
"2008 HUMMER H3 climate control","37%","70"
"2008 Hyundai Elantra climate control","30%","23"
"2008 Hyundai Santa Fe climate control","22%","24"
"2008 Infiniti FX35 climate control","16%","16"
"2008 Infiniti G35 climate control","46%","92"
"2008 Jeep Liberty climate control","29%","66"
"2008 Kia Sorento climate control","37%","23"
"2008 Kia Spectra climate control","24%","25"
"2008 Land Rover LR3 climate control","13%","15"
"2008 Lexus IS 250 climate control","38%","39"
"2008 Lincoln MKX climate control","13%","22"
"2008 Mazda 3 climate control","25%","28"
"2008 Mazda B2300 climate control","100%","7"
"2008 Mazda Tribute climate control","50%","6"
"2008 Mercury Grand Marquis climate control","54%","75"
"2008 Mini Cooper climate control","9%","29"
"2008 Mitsubishi Eclipse climate control","42%","22"
"2008 Mitsubishi Endeavor climate control","25%","9"
"2008 Nissan Altima climate control","18%","146"
"2008 Nissan Armada climate control","34%","80"
"2008 Nissan Maxima climate control","1%","4"
"2008 Nissan Pathfinder climate control","40%","163"
"2008 Nissan Rogue climate control","10%","26"
"2008 Nissan Sentra climate control","15%","28"
"2008 Nissan Versa climate control","17%","15"
"2008 Nissan Xterra climate control","40%","125"
"2008 Pontiac G6 climate control","18%","32"
"2008 Porsche Cayenne climate control","21%","16"
"2008 Saturn Aura climate control","12%","21"
"2008 Saturn Outlook climate control","10%","16"
"2008 Scion xD climate control","35%","9"
"2008 Subaru Forester climate control","14%","34"
"2008 Suzuki Grand Vitara climate control","85%","23"
"2008 Toyota Camry climate control","15%","84"
"2008 Toyota Corolla climate control","52%","101"
"2008 Toyota Prius climate control","58%","38"
"2008 Toyota RAV4 climate control","28%","89"
"2008 Toyota Sequoia climate control","22%","15"
"2008 Volkswagen Eos climate control","6%","19"
"2008 Volkswagen GTI climate control","9%","11"
"2008 Volkswagen Passat climate control","6%","31"
"2008 Volvo S40 climate control","57%","12"
"2008 Volvo S60 climate control","38%","35"
"2008 Volvo XC90 climate control","39%","46"
"2009 Acura MDX climate control","10%","22"
"2009 Acura RDX climate control","8%","11"
"2009 Audi A5 Quattro climate control","4%","23"
"2009 Chevrolet Aveo climate control","4%","4"
"2009 Chevrolet Aveo5 climate control","2%","1"
"2009 Chevrolet Cobalt climate control","20%","44"
"2009 Chevrolet Impala climate control","7%","31"
"2009 Dodge Caliber climate control","19%","55"
"2009 Dodge Grand Caravan climate control","15%","75"
"2009 Dodge Journey climate control","9%","39"
"2009 Ford Crown Victoria climate control","64%","110"
"2009 Ford F-150 climate control","67%","175"
"2009 Ford Fusion climate control","21%","87"
"2009 Ford Taurus climate control","7%","18"
"2009 Honda Accord climate control","27%","37"
"2009 Honda Civic climate control","32%","111"
"2009 Honda Odyssey climate control","10%","70"
"2009 Honda Pilot climate control","12%","30"
"2009 Hyundai Accent climate control","56%","23"
"2009 Hyundai Elantra climate control","24%","29"
"2009 Hyundai Santa Fe climate control","25%","25"
"2009 Infiniti G37 climate control","39%","110"
"2009 Jaguar XF climate control","2%","7"
"2009 Kia Optima climate control","8%","6"
"2009 Kia Rio5 climate control","0%","0"
"2009 Mazda 3 climate control","7%","21"
"2009 Mitsubishi Lancer climate control","12%","18"
"2009 Nissan Altima climate control","19%","144"
"2009 Nissan Maxima climate control","7%","46"
"2009 Nissan Murano climate control","5%","10"
"2009 Nissan Pathfinder climate control","38%","138"
"2009 Nissan Rogue climate control","9%","22"
"2009 Nissan Versa climate control","14%","19"
"2009 Pontiac Vibe climate control","32%","13"
"2009 Saturn Aura climate control","13%","21"
"2009 Saturn Vue climate control","27%","25"
"2009 Subaru Forester climate control","17%","32"
"2009 Toyota Camry climate control","16%","97"
"2009 Toyota Matrix climate control","26%","22"
"2009 Toyota Yaris climate control","32%","22"
"2009 Volkswagen CC climate control","5%","18"
"2009 Volvo C70 climate control","82%","9"
"2009 Volvo S40 climate control","65%","13"
"2010 Acura TL climate control","1%","2"
"2010 Audi A4 climate control","5%","46"
"2010 Audi A5 Quattro climate control","4%","21"
"2010 Audi Q5 climate control","5%","38"
"2010 Buick Enclave climate control","19%","81"
"2010 Cadillac CTS climate control","74%","90"
"2010 Cadillac DTS climate control","5%","15"
"2010 Cadillac SRX climate control","13%","17"
"2010 Chevrolet Equinox climate control","29%","65"
"2010 Chevrolet Impala climate control","7%","30"
"2010 Chevrolet Malibu climate control","15%","72"
"2010 Chevrolet Traverse climate control","12%","55"
"2010 Chrysler Town & Country climate control","17%","106"
"2010 Dodge Caliber climate control","36%","48"
"2010 Dodge Journey climate control","12%","56"
"2010 Ford Crown Victoria climate control","64%","110"
"2010 Ford Edge climate control","11%","43"
"2010 Ford Escape climate control","45%","109"
"2010 Ford Expedition climate control","19%","103"
"2010 Ford Explorer climate control","19%","98"
"2010 Ford Focus climate control","14%","31"
"2010 Ford Fusion climate control","27%","97"
"2010 Ford Transit Connect climate control","14%","10"
"2010 Honda Insight climate control","8%","4"
"2010 Honda Odyssey climate control","10%","40"
"2010 Hyundai Accent climate control","45%","29"
"2010 Hyundai Elantra climate control","25%","33"
"2010 Hyundai Sonata climate control","31%","44"
"2010 Infiniti G37 climate control","47%","137"
"2010 Jaguar XF climate control","2%","5"
"2010 Jeep Liberty climate control","31%","76"
"2010 Kia Forte climate control","46%","124"
"2010 Kia Optima climate control","11%","7"
"2010 Kia Rio climate control","31%","18"
"2010 Kia Soul climate control","26%","23"
"2010 Lexus ES350 climate control","12%","9"
"2010 Mazda 3 climate control","4%","17"
"2010 Mazda 5 climate control","8%","9"
"2010 Mazda 6 climate control","2%","8"
"2010 Mercury Mariner climate control","31%","34"
"2010 Mercury Mountaineer climate control","18%","34"
"2010 Mini Cooper climate control","6%","13"
"2010 Nissan Altima climate control","21%","140"
"2010 Nissan Maxima climate control","7%","47"
"2010 Nissan Murano climate control","8%","25"
"2010 Nissan Rogue climate control","10%","25"
"2010 Suzuki Kizashi climate control","4%","3"
"2010 Toyota Camry climate control","23%","45"
"2010 Toyota Corolla climate control","24%","88"
"2010 Toyota Matrix climate control","27%","20"
"2010 Volkswagen CC climate control","4%","17"
"2010 Volkswagen Jetta climate control","14%","51"
"2010 Volkswagen Tiguan climate control","7%","17"
"2010 Volvo S40 climate control","60%","15"
"2010 Volvo XC60 climate control","114%","24"
"2011 Audi A4 climate control","6%","51"
"2011 BMW 328i climate control","9%","70"
"2011 BMW 328i xDrive climate control","9%","31"
"2011 BMW 550i climate control","5%","38"
"2011 Cadillac CTS climate control","72%","89"
"2011 Chevrolet Aveo climate control","5%","5"
"2011 Chevrolet Cruze climate control","6%","33"
"2011 Chevrolet Equinox climate control","29%","61"
"2011 Chevrolet Impala climate control","7%","35"
"2011 Chevrolet Malibu climate control","16%","75"
"2011 Chevrolet Silverado 2500 HD climate control","22%","45"
"2011 Chevrolet Tahoe climate control","33%","176"
"2011 Chevrolet Traverse climate control","12%","56"
"2011 Chrysler 200 climate control","16%","107"
"2011 Chrysler Town & Country climate control","20%","142"
"2011 Dodge Caliber climate control","16%","67"
"2011 Dodge Journey climate control","9%","96"
"2011 Dodge Nitro climate control","41%","80"
"2011 Ford Crown Victoria climate control","65%","124"
"2011 Ford Edge climate control","55%","149"
"2011 Ford Expedition climate control","19%","100"
"2011 Ford Focus climate control","16%","39"
"2011 Ford Fusion climate control","33%","65"
"2011 GMC Acadia climate control","16%","76"
"2011 Honda Civic climate control","28%","81"
"2011 Honda CR-V climate control","27%","67"
"2011 Honda Fit climate control","6%","16"
"2011 Honda Odyssey climate control","6%","43"
"2011 Honda Pilot climate control","12%","26"
"2011 Hyundai Equus climate control","3%","2"
"2011 Hyundai Sonata climate control","6%","62"
"2011 Infiniti EX35 climate control","29%","21"
"2011 Land Rover LR2 climate control","6%","3"
"2011 Lexus ES350 climate control","14%","10"
"2011 Mazda 3 climate control","4%","18"
"2011 Mini Cooper Countryman climate control","4%","6"
"2011 Mitsubishi Endeavor climate control","27%","7"
"2011 Mitsubishi Galant climate control","19%","6"
"2011 Mitsubishi Lancer climate control","12%","19"
"2011 Nissan Altima climate control","21%","132"
"2011 Nissan Leaf climate control","2%","1"
"2011 Nissan Maxima climate control","6%","46"
"2011 Nissan Rogue climate control","10%","49"
"2011 Nissan Sentra climate control","19%","26"
"2011 Nissan Versa climate control","15%","22"
"2011 Subaru Legacy climate control","20%","73"
"2011 Suzuki SX4 climate control","5%","5"
"2011 Toyota Avalon climate control","17%","11"
"2011 Toyota Camry climate control","27%","34"
"2011 Volvo S40 climate control","67%","12"
"2011 Volvo S60 climate control","26%","23"
"2012 Acura TSX climate control","1%","2"
"2012 Audi A6 Quattro climate control","7%","22"
"2012 BMW X5 climate control","5%","45"
"2012 Buick Enclave climate control","19%","83"
"2012 Cadillac SRX climate control","15%","16"
"2012 Chevrolet Cruze climate control","6%","59"
"2012 Chevrolet Equinox climate control","61%","117"
"2012 Chevrolet Malibu climate control","16%","81"
"2012 Chevrolet Tahoe climate control","26%","107"
"2012 Chevrolet Traverse climate control","12%","58"
"2012 Dodge Avenger climate control","17%","91"
"2012 Dodge Charger climate control","20%","55"
"2012 Dodge Grand Caravan climate control","12%","172"
"2012 Ford Escape climate control","45%","120"
"2012 Ford Focus climate control","4%","41"
"2012 Ford Fusion climate control","28%","95"
"2012 Ford Mustang climate control","44%","28"
"2012 Honda Accord climate control","37%","61"
"2012 Hyundai Elantra climate control","8%","34"
"2012 Hyundai Genesis climate control","12%","40"
"2012 Hyundai Sonata climate control","6%","51"
"2012 Infiniti M35h climate control","14%","6"
"2012 Jeep Liberty climate control","36%","38"
"2012 Kia Optima climate control","4%","26"
"2012 Kia Sorento climate control","19%","44"
"2012 Kia Soul climate control","19%","33"
"2012 Lincoln MKZ climate control","13%","7"
"2012 Mazda 3 climate control","4%","16"
"2012 Mitsubishi Galant climate control","16%","5"
"2012 Nissan Altima climate control","21%","135"
"2012 Nissan Maxima climate control","6%","44"
"2012 Nissan Murano climate control","8%","25"
"2012 Nissan Rogue climate control","10%","49"
"2012 Nissan Sentra climate control","18%","25"
"2012 Scion xB climate control","27%","13"
"2012 Subaru Outback climate control","17%","36"
"2012 Toyota Yaris climate control","10%","5"
"2012 Volkswagen Jetta climate control","10%","82"
"2012 Volkswagen Tiguan climate control","12%","21"
"2012 Volvo S60 climate control","27%","22"
"2012 Volvo S80 climate control","55%","16"
"2013 BMW 328i climate control","9%","94"
"2013 BMW X3 climate control","4%","13"
"2013 Buick Encore climate control","9%","20"
"2013 Chevrolet Cruze climate control","8%","48"
"2013 Chevrolet Impala climate control","29%","36"
"2013 Chevrolet Malibu climate control","21%","51"
"2013 Chevrolet Sonic climate control","10%","15"
"2013 Chrysler 200 climate control","15%","98"
"2013 Chrysler Town & Country climate control","18%","137"
"2013 Dodge Avenger climate control","16%","89"
"2013 Dodge Dart climate control","9%","38"
"2013 Fiat 500 climate control","17%","25"
"2013 Ford Edge climate control","48%","114"
"2013 Ford Escape climate control","4%","42"
"2013 Ford Fiesta climate control","5%","18"
"2013 Ford Focus climate control","5%","43"
"2013 GMC Terrain climate control","59%","53"
"2013 Hyundai Accent climate control","40%","38"
"2013 Hyundai Sonata climate control","5%","52"
"2013 Mazda 5 climate control","7%","12"
"2013 Nissan Altima climate control","18%","212"
"2013 Nissan Cube climate control","24%","29"
"2013 Nissan Juke climate control","5%","11"
"2013 Nissan Maxima climate control","6%","42"
"2013 Nissan Murano climate control","8%","24"
"2013 Nissan Rogue climate control","10%","51"
"2013 Nissan Versa climate control","31%","36"
"2013 Volkswagen CC climate control","8%","20"
"2013 Volvo XC60 climate control","39%","20"
"2014 Audi A4 climate control","5%","32"
"2014 Chevrolet Cruze climate control","8%","51"
"2014 Chevrolet Equinox climate control","72%","89"
"2014 Chevrolet Impala Limited climate control","10%","6"
"2014 Chevrolet Sonic climate control","10%","13"
"2014 Chevrolet Spark climate control","10%","6"
"2014 Chevrolet Volt climate control","22%","7"
"2014 Chrysler Town & Country climate control","18%","137"
"2014 Dodge Avenger climate control","17%","97"
"2014 Dodge Grand Caravan climate control","12%","172"
"2014 Dodge Journey climate control","8%","78"
"2014 Fiat 500 climate control","9%","24"
"2014 Ford Edge climate control","59%","153"
"2014 Ford Escape climate control","5%","45"
"2014 Ford Focus climate control","5%","49"
"2014 Honda CR-V climate control","12%","29"
"2014 Honda CR-Z climate control","44%","8"
"2014 Hyundai Elantra climate control","11%","52"
"2014 Hyundai Elantra Coupe climate control","6%","10"
"2014 Hyundai Sonata climate control","8%","40"
"2014 Infiniti QX60 climate control","8%","28"
"2014 Jeep Patriot climate control","17%","109"
"2014 Kia Sedona climate control","12%","14"
"2014 Mazda 3 climate control","8%","16"
"2014 Mini Cooper Countryman climate control","15%","11"
"2014 Nissan Altima climate control","16%","135"
"2014 Nissan Rogue climate control","12%","95"
"2014 Nissan Sentra climate control","12%","52"
"2014 Nissan Versa climate control","35%","48"
"2014 Volkswagen Jetta climate control","10%","85"
"2015 Audi A4 climate control","5%","33"
"2015 Buick Verano climate control","7%","22"
"2015 Chevrolet Cruze climate control","7%","44"
"2015 Chevrolet Malibu climate control","14%","37"
"2015 Chrysler 200 climate control","11%","26"
"2015 Ford Focus climate control","5%","46"
"2015 Ford Fusion climate control","25%","52"
"2015 Honda Pilot climate control","3%","10"
"2015 Infiniti QX60 climate control","6%","21"
"2015 Kia Forte climate control","5%","19"
"2015 Mitsubishi Mirage climate control","2%","1"
"2015 Nissan Altima climate control","17%","150"
"2015 Nissan Sentra climate control","4%","46"
"2015 Nissan Versa climate control","36%","78"
"2016 Buick LaCrosse climate control","7%","9"
"2016 Chevrolet Cruze climate control","8%","62"
"2016 Chevrolet Cruze Limited climate control","4%","10"
"2016 Ford Focus climate control","5%","46"
"2016 Ford Police Interceptor Sedan climate control","16%","4"
"2016 Hyundai Elantra GT climate control","6%","9"
"2016 Hyundai Santa Fe climate control","15%","25"
"2016 Hyundai Sonata climate control","11%","53"
"2016 Infiniti QX60 climate control","7%","25"
"2016 Jeep Cherokee climate control","16%","83"
"2016 Jeep Patriot climate control","18%","114"
"2016 Kia Rio climate control","22%","9"
"2016 Kia Soul climate control","11%","35"
"2016 Nissan NV200 climate control","65%","30"
"2017 Ford Focus climate control","6%","47"
"2017 Mitsubishi Lancer climate control","12%","7"
"2017 Nissan Altima climate control","17%","77"
"2017 Toyota Camry climate control","26%","82"
"2017 Volkswagen Jetta climate control","17%","40"
"2018 Dodge Journey climate control","8%","46"
"2018 Hyundai Santa Fe Sport climate control","18%","9"
"2018 Mitsubishi Mirage G4 climate control","25%","1"
"2019 Chevrolet Equinox climate control","10%","31"
"2019 Ford Fiesta climate control","4%","8"
"2019 Ram 1500 Classic climate control","24%","30"
"2021 Nissan Rogue Sport climate control","9%","29"
